;repeat;repeat_last;drift;gnn_config1;gnn_config2;gnn_config3;gnn_config4;gnn_config5;best_model
3481;6,4193;6,1264;7,7901;6,6345;6,0813;6,362;5,8391;5,7391;gnn_config5
3572;2,9137;2,6585;3,3954;3,4199;2,859;3,0942;2,8825;2,7938;repeat_last
3576;4,13;3,4856;4,3368;3,596;3,6369;3,7018;3,6255;3,3821;gnn_config5
3628;3,5208;3,0952;3,9449;5,6078;3,9994;5,454;4,1891;4,7391;repeat_last
3684;3,484;3,0014;3,8956;6,2481;5,9825;5,8025;5,9146;5,95;repeat_last
3685;3,3555;2,7115;3,4291;2,9269;2,7333;2,7683;2,8258;3,239;repeat_last
3686;4,6887;4,0359;5,0604;4,202;3,8377;4,0081;3,8499;3,8175;gnn_config5
5044;1,7118;1,4364;1,8621;1,6819;1,3149;1,324;1,0777;1,2561;gnn_config4
5045;2,6643;2,0517;2,4829;2,3586;2,2601;2,2042;2,3032;2,4339;repeat_last
5046;3,0246;2,6857;3,5433;2,5906;2,2263;2,3014;2,2571;2,2522;gnn_config2
5047;2,8323;2,2786;2,85;2,7667;2,5738;2,5164;2,6171;2,6156;repeat_last
5048;2,2996;1,879;2,4001;1,9998;1,4848;1,637;1,5176;1,5565;gnn_config2
5049;2,2086;1,7887;2,2672;2,042;1,5683;1,6974;1,5575;1,5597;gnn_config4
5050;1,9974;1,5642;1,908;1,9198;1,5472;1,5823;1,5608;1,6058;gnn_config2
5051;5,3856;4,6861;5,9562;4,357;3,97;4,1371;3,9639;3,6552;gnn_config5
5052;3,0939;2,5511;3,1731;2,6019;2,0854;2,1963;2,064;2,2383;gnn_config4
5054;2,3165;1,8464;2,2953;1,7508;1,3963;1,4452;1,4402;1,418;gnn_config2
5055;4,6619;3,7726;4,7015;3,9719;3,5487;3,5576;3,5781;3,6479;gnn_config2
5061;3,1512;2,816;3,605;3,0684;2,7534;2,8677;2,6457;2,6327;gnn_config5
5099;13,0018;11,6396;14,5325;10,542;10,2381;10,1045;10,3765;9,3451;gnn_config5
5100;17,3085;15,5331;19,8949;25,0416;26,1069;26,5647;29,4442;29,32;repeat_last
5101;4,2869;3,3434;4,1767;4,3617;4,0256;4,4514;4,2384;3,9873;repeat_last
5102;2,941;2,8253;2,7434;2,3638;1,7041;2,264;2,0002;3,0764;gnn_config2
5105;3,4494;2,7528;3,4642;2,9758;2,6593;2,7441;2,6789;3,0093;gnn_config2
5108;3,8513;3,4046;4,3276;3,5243;3,2003;3,2039;3,1104;3,3421;gnn_config4
5109;2,0318;1,8523;2,3675;2,178;1,8652;2,1107;1,7981;2,0705;gnn_config4
5114;2,6069;2,2828;2,8937;2,4585;1,95;2,8258;2,2515;2,4917;gnn_config2
5118;6,3424;5,4558;6,8125;18,6744;6,1556;9,2059;6,5484;11,793;repeat_last
5119;0,9609;0,9242;1,1927;2,2645;1,2141;2,1075;1,5746;2,9564;repeat_last
5120;1,6167;1,5404;1,9901;2,3404;2,1735;2,2783;1,9001;2,2451;repeat_last
5121;3,6426;3,1077;3,8979;3,795;3,3262;3,4271;3,2555;3,315;repeat_last
5122;2,8099;2,5239;3,2353;3,346;3,0174;3,0679;2,8655;2,9347;repeat_last
5125;11,1228;10,074;12,6732;10,9028;10,1623;10,8906;10,0281;9,9398;gnn_config5
5126;13,2232;11,166;13,5057;10,8337;11,3587;11,5532;11,1341;10,8528;gnn_config1
5245;6,4164;5,6513;7,2791;4,8207;3,574;3,6698;3,6651;3,8282;gnn_config2
9847;5,8211;5,4195;6,912;4,7136;4,4065;4,4076;4,2377;4,3622;gnn_config4
10025;2,4282;2,211;2,8551;2,6326;2,3037;2,4;2,2515;2,4275;repeat_last
