,Jun_x,Jul_x,Aug_x,Sep_x,Oct_x,Nov_x,Dec_x,avg_x,std_x,Jun_y,Jul_y,Aug_y,Sep_y,Oct_y,Nov_y,Dec_y,avg_y,std_y
3481,7.0153,7.115,7.2112,7.0071,6.8886,6.8029,6.9053,6.9922,0.1298,66.74,65.43,62.19,70.99,71.35,66.31,70.82,67.69,3.21
3572,2.8969,2.5039,2.2545,2.8987,3.1151,3.0603,3.0844,2.8305,0.3037,19.57,12.9,8.02,17.03,24.18,20.69,21.95,17.76,5.2
3576,4.233,3.5844,3.1496,5.5771,6.5974,43.4029,4.477,10.1459,13.6203,34.6,21.21,14.01,61.91,124.81,2487.4,34.14,396.87,854.15
3628,2.954,2.8268,2.5342,3.4529,3.637,3.5461,3.6138,3.2235,0.4115,16.85,15.95,9.86,26.93,30.75,25.4,26.99,21.82,7.05
3684,2.2751,1.943,5.146,4.6263,2.4922,2.4255,2.5497,3.0654,1.1744,10.68,6.3,133.56,86.36,10.74,10.3,15.88,39.12,46.62
3685,4.5613,3.821,3.1543,4.4104,4.4399,4.4424,4.4989,4.1897,0.4806,28.38,20.26,14.78,25.65,26.58,27.78,27.61,24.43,4.68
3686,5.3219,4.1548,3.1344,5.4994,5.9766,5.4983,5.3114,4.9853,0.9138,48.11,29.04,14.34,53.36,61.13,52.62,48.51,43.87,15.1
5044,2.1029,1.8384,1.4601,1.9668,2.0751,2.2658,1.9341,1.949,0.2366,6.37,8.75,3.43,5.3,8.31,9.82,5.54,6.79,2.09
5045,3.7217,3.5979,3.9927,3.9802,4.2209,4.1645,4.1369,3.9735,0.2169,21.49,19.91,22.05,22.66,30.13,26.36,24.84,23.92,3.22
5046,3.7113,3.9815,4.738,3.7219,4.2082,3.6514,3.8108,3.9747,0.3589,20.41,21.23,26.55,22.25,34.03,20.19,22.97,23.95,4.57
5047,3.8397,2.9987,2.3778,3.8287,3.9429,3.753,3.7541,3.4993,0.5423,21.54,13.66,8.63,22.59,28.51,22.6,22.47,20.0,6.14
5048,2.9885,2.2583,1.8532,2.8526,3.0373,3.066,2.8013,2.6939,0.427,13.58,7.79,5.31,12.79,15.53,14.44,12.26,11.67,3.45
5049,2.7482,2.2973,1.8088,2.9044,3.1791,2.9379,3.001,2.6967,0.4436,10.72,7.93,4.91,14.11,25.12,13.57,14.91,13.04,5.96
5050,2.8826,2.4185,1.9257,2.9994,3.177,3.0058,2.9637,2.7675,0.4072,10.74,7.93,5.63,11.85,14.71,12.04,11.8,10.67,2.77
5051,7.4407,5.8065,5.2814,7.0908,4.8651,4.2285,4.3558,5.5813,1.1785,203.96,112.81,59.69,206.22,75.83,28.93,37.54,103.57,69.0
5052,3.9091,3.1668,2.4074,3.8131,4.1264,3.9917,4.1683,3.6547,0.5957,22.4,17.83,8.6,21.76,28.66,23.5,34.73,22.5,7.6
5054,3.1111,2.3991,1.9809,3.03,3.2659,3.2314,3.1327,2.8787,0.4554,13.02,8.21,6.21,12.55,18.22,15.74,18.18,13.16,4.32
5055,5.6784,4.4967,4.2316,5.5275,5.8417,5.8496,5.6916,5.331,0.6238,47.58,28.24,23.64,46.03,54.02,53.08,48.09,42.96,11.16
5061,3.2844,2.8258,2.5494,3.3871,3.4962,3.3332,3.6049,3.2116,0.3533,17.35,12.37,8.94,18.13,19.66,17.7,21.66,16.55,4.06
5099,11.4493,12.509,9.9543,13.5492,17.5336,53.7038,19.2,19.6999,14.2117,304.18,336.18,189.26,418.22,689.88,3482.16,839.35,894.18,1077.38
5100,40.9697,23.4774,30.8703,39.5142,28.9507,54.4393,16.1767,33.4855,11.7022,2338.91,1061.1,1432.18,2090.62,1346.01,3446.32,639.52,1764.95,871.02
5101,19.2539,17.1475,3.5868,32.3926,8.7997,37.6595,20.4597,19.9,11.1426,711.67,617.85,17.02,1273.42,291.24,1549.7,743.97,743.55,489.88
5102,1.2736,1.2949,1.1673,1.2471,6.2155,41.4276,21.5112,10.591,14.336,2.76,4.35,2.04,2.8,315.44,1893.96,947.15,452.64,670.77
5105,4.3868,3.7965,3.0755,4.5136,4.6623,4.6866,4.54,4.2373,0.5499,29.15,20.71,15.7,29.55,31.67,31.32,30.34,26.92,5.73
5108,3.9117,3.8848,5.2234,37.0195,10.2211,4.4413,4.459,9.8801,11.2687,32.49,28.42,84.04,1568.86,510.21,37.49,36.67,328.31,531.68
5109,1.8788,1.6498,1.5166,1.9659,1.9772,1.991,2.9653,1.9921,0.4316,5.94,4.36,3.29,6.33,6.43,7.0,84.59,16.85,27.68
5114,2.5383,2.3065,2.0418,2.917,4.8579,65.9084,3.466,12.0051,22.0231,9.62,8.42,6.05,13.95,150.86,5192.31,84.52,780.82,1801.69
5118,21.0885,22.2371,24.1349,17.8498,17.8825,17.9109,17.8688,19.8532,2.4246,507.55,534.79,599.52,389.6,386.08,380.75,377.67,453.71,84.96
5119,0.8928,0.8541,0.8579,0.8565,0.8773,0.8532,0.8549,0.8638,0.0141,1.16,1.01,0.99,1.05,1.36,1.02,1.04,1.09,0.12
5120,1.655,1.6392,1.5151,1.6086,1.471,1.4927,1.5487,1.5615,0.0679,7.29,6.59,4.22,5.69,5.24,4.2,4.94,5.45,1.08
5121,4.1745,3.8253,3.9735,4.2744,4.2943,4.2706,4.4696,4.1832,0.2009,28.61,23.2,20.97,29.32,33.19,28.45,32.09,27.97,4.11
5122,3.1166,2.8944,2.7522,2.9539,3.0063,3.0253,2.9724,2.9602,0.106,15.51,13.43,10.22,13.44,15.18,14.82,13.78,13.77,1.64
5125,11.2753,10.4649,9.8792,12.8475,12.6539,12.2899,12.2068,11.6597,1.0584,183.44,152.62,134.09,244.93,256.91,230.9,231.18,204.87,44.53
5126,15.5208,14.0964,12.7324,18.6576,18.8519,17.3778,17.1017,16.3341,2.14,326.06,277.42,229.62,459.66,502.82,407.97,399.62,371.88,91.17
5245,9.659,6.3153,6.8431,7.33,8.249,7.4486,7.2461,7.5844,1.0074,241.94,50.12,50.44,123.93,188.77,128.3,113.02,128.07,64.36
9847,5.1778,4.7488,4.5006,5.803,5.6622,5.7356,5.6152,5.3204,0.4823,42.41,35.06,30.78,51.89,50.85,51.47,49.18,44.52,7.99
10025,2.937,2.7444,2.7916,2.8686,2.9338,2.7531,2.9417,2.8529,0.0822,13.16,10.73,9.99,14.18,15.06,12.37,14.02,12.79,1.73
