Unnamed: 0,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,40.17,42.23,32.68,72.46,86.68,37.0,58.08,52.76,18.85
3572,12.83,12.84,2.29,14.37,39.4,9.5,22.77,16.28,10.99
3576,14.03,12.99,4.54,22.54,12.05,1553.34,21.17,234.38,538.49
3628,13.11,18.87,5.48,11.3,21.01,16.75,13.61,14.3,4.79
3684,3.3,3.05,1.43,80.72,23.49,7.57,4.24,17.68,26.66
3685,5.43,5.74,3.48,4.35,8.06,5.16,8.68,5.84,1.75
3686,23.11,18.77,7.96,17.44,38.99,23.63,19.6,21.36,8.65
5044,1.24,1.24,1.02,0.93,1.36,1.6,1.31,1.24,0.2
5045,3.2,2.52,4.4,4.14,22.57,4.21,11.12,7.45,6.71
5046,12.78,6.83,4.92,36.52,40.53,9.55,15.03,18.02,13.38
5047,8.06,4.31,1.81,2.92,33.42,3.57,8.21,8.9,10.27
5048,7.98,3.7,1.13,2.78,8.7,4.02,5.27,4.8,2.53
5049,2.96,2.14,1.14,1.55,46.32,3.1,3.63,8.69,15.39
5050,1.63,1.51,1.32,2.27,2.59,3.06,2.08,2.07,0.58
5051,464.18,105.19,27.56,177.82,411.49,7.19,6.84,171.47,178.29
5052,13.62,6.09,2.74,5.61,28.82,7.31,8.61,10.4,8.13
5054,5.53,1.92,1.34,2.04,8.31,3.01,3.62,3.68,2.28
5055,78.62,24.15,6.18,34.92,57.62,40.26,32.5,39.18,21.63
5061,6.06,6.19,3.27,6.26,15.15,5.76,7.34,7.15,3.46
5099,29.71,677.85,32.34,403.57,362.4,3862.09,2153.37,1074.48,1321.63
5100,775.05,991.93,992.24,448.7,570.12,2443.82,1372.81,1084.95,622.5
5101,1477.33,531.37,4.92,1351.82,715.96,1628.47,294.2,857.72,584.75
5102,2.25,2.39,1.51,1.79,2.59,1752.8,427.98,313.04,605.87
5105,6.45,6.9,2.39,5.24,8.42,9.01,8.91,6.76,2.2
5108,16.4,22.66,11.46,1713.92,2255.58,27.65,26.2,581.98,898.94
5109,3.48,3.78,1.91,2.63,3.51,3.2,3.58,3.16,0.61
5114,3.44,2.91,2.06,3.44,6.45,4238.86,401.27,665.49,1465.26
5118,35.9,35.56,25.32,23.38,39.75,34.64,34.7,32.75,5.57
5119,0.85,0.83,0.7,1.11,0.94,0.62,0.62,0.81,0.17
5120,13.0,8.17,2.68,2.13,13.36,1.56,2.42,6.19,4.87
5121,21.14,24.72,12.88,13.68,55.93,19.14,21.37,24.12,13.57
5122,7.78,9.16,9.47,6.81,10.08,7.72,6.9,8.27,1.2
5125,74.45,66.06,65.89,87.57,96.66,114.46,103.67,86.96,17.6
5126,84.33,101.14,89.3,90.71,115.92,104.13,159.07,106.37,23.67
5245,1194.45,35.53,3.61,104.79,319.64,33.43,106.64,256.87,394.92
9847,35.79,28.29,16.96,36.85,45.13,44.68,46.31,36.29,9.91
10025,8.9,9.73,2.27,10.62,20.32,7.59,9.26,9.81,4.99
